batch_id,batch_sequence,simulated_ingestion_date,row_count,unique_case_count,unique_activity_count,minimum_event_timestamp,maximum_event_timestamp,historical_outlier_count,file_name,file_size_bytes,sha256,status
batch_0001,1,2026-01-01,100000,27401,34,1948-01-26T22:59:00+00:00,2018-02-08T22:51:00+00:00,95,data\batches\clean\batch_0001\events.parquet,3108767,59ab1764b57a45013b64edc2d186587b73c76811d92141a1397daa26d525c73e,READY
batch_0002,2,2026-01-02,100000,36093,35,2018-02-08T22:51:00+00:00,2018-03-07T15:35:00+00:00,0,data\batches\clean\batch_0002\events.parquet,3215271,1e509fcc93e7f9e83180f64cd55a91d31a35f266cf247ce84feb912d1d730d94,READY
batch_0003,3,2026-01-03,100000,38642,37,2018-03-07T15:38:00+00:00,2018-03-29T00:05:00+00:00,0,data\batches\clean\batch_0003\events.parquet,3271275,eef306bfed95e331420a5916ca915d8ea21b48e5fcaf9b2aba3c73114d056de9,READY
batch_0004,4,2026-01-04,100000,42116,35,2018-03-29T00:05:00+00:00,2018-04-20T05:47:00+00:00,0,data\batches\clean\batch_0004\events.parquet,3258723,056cd1a68eaa76462bae8311c11020bd68a8559c1da889a11c577ab5ce1fb8d9,READY
batch_0005,5,2026-01-05,100000,44390,32,2018-04-20T05:48:00+00:00,2018-05-12T01:39:00+00:00,0,data\batches\clean\batch_0005\events.parquet,3239519,5f7bf879b390d4886c1d832cd6cd2afc4f44551d2cafa69b3d9ce3c64789ce1a,READY
batch_0006,6,2026-01-06,100000,43375,35,2018-05-12T01:39:00+00:00,2018-06-01T21:59:00+00:00,0,data\batches\clean\batch_0006\events.parquet,3243806,d18ca889afc38a1d3ef081095a6ac041f30b9ab56dc3de2cdb430ca6f6fd3293,READY
batch_0007,7,2026-01-07,100000,42664,36,2018-06-01T21:59:00+00:00,2018-06-25T10:44:00+00:00,0,data\batches\clean\batch_0007\events.parquet,3264502,ac4bee8d6501a6bd4094dc75bb8f7e5d89a14e16494c704714c4a08112f0bf23,READY
batch_0008,8,2026-01-08,100000,48879,33,2018-06-25T10:45:00+00:00,2018-07-13T15:06:00+00:00,0,data\batches\clean\batch_0008\events.parquet,3303138,cba10e9df10e2754a047c1ffe77b73a4989d94de404021e6a3252959b062833c,READY
batch_0009,9,2026-01-09,100000,44536,35,2018-07-13T15:06:00+00:00,2018-08-06T08:04:00+00:00,0,data\batches\clean\batch_0009\events.parquet,3277002,ed50dd697ba0a732d138718f220b9798eae2721aaaf07952b9f4aa801bb4e4bb,READY
batch_0010,10,2026-01-10,100000,43940,36,2018-08-06T08:04:00+00:00,2018-08-30T13:35:00+00:00,0,data\batches\clean\batch_0010\events.parquet,3274578,2a2b550acff77df5d85ccd7200b197a73228ff64df5ebb0d60acaab6feb61c65,READY
batch_0011,11,2026-01-11,100000,48615,32,2018-08-30T13:35:00+00:00,2018-09-18T21:59:00+00:00,0,data\batches\clean\batch_0011\events.parquet,3321593,e524ff2c6195c5fb96b1b5a6ba680b58d577d3f5611e0357ec166082fa4b3b14,READY
batch_0012,12,2026-01-12,100000,47487,35,2018-09-18T21:59:00+00:00,2018-10-08T14:39:00+00:00,0,data\batches\clean\batch_0012\events.parquet,3302210,61a8829b5d45e2c735c688e810de07c961c52ced49213b0cf7f42ef1ed356b83,READY
batch_0013,13,2026-01-13,100000,41610,36,2018-10-08T14:39:00+00:00,2018-10-30T22:59:00+00:00,0,data\batches\clean\batch_0013\events.parquet,3283498,3737044faed6c2d4d11e9b55f87f14e5323bf79a87ac51d779001153be379e2e,READY
batch_0014,14,2026-01-14,100000,42034,33,2018-10-30T22:59:00+00:00,2018-11-21T23:00:00+00:00,0,data\batches\clean\batch_0014\events.parquet,3289783,6ab553616f591f24ca427f55e4d384000d34a362a33ebbfa0237951f64b7cb9a,READY
batch_0015,15,2026-01-15,100000,46514,34,2018-11-21T23:00:00+00:00,2018-12-12T10:19:00+00:00,0,data\batches\clean\batch_0015\events.parquet,3300262,27caeca0ea7e885092d709e3ca4da02ec9b23cc44961be7f160290f42ba877bf,READY
batch_0016,16,2026-01-16,95923,44875,35,2018-12-12T10:19:00+00:00,2020-04-09T21:59:00+00:00,0,data\batches\clean\batch_0016\events.parquet,3239403,dd3f790c1969bbc49955f1ee6d4f6d8e96894f80c30c1889a3180ae2aaf271c7,READY
