column_name,data_type,mode
event_id,INTEGER,NULLABLE
case_id,STRING,NULLABLE
case_name,STRING,NULLABLE
event_sequence,INTEGER,NULLABLE
activity,STRING,NULLABLE
event_timestamp,TIMESTAMP,NULLABLE
event_date,DATE,NULLABLE
timestamp_quality_status,STRING,NULLABLE
resource_id,STRING,NULLABLE
cumulative_net_worth_eur,FLOAT,NULLABLE
purchasing_document_id,STRING,NULLABLE
item_id,STRING,NULLABLE
document_type,STRING,NULLABLE
purchasing_document_category,STRING,NULLABLE
company_id,STRING,NULLABLE
vendor_id,STRING,NULLABLE
source_system,STRING,NULLABLE
spend_area,STRING,NULLABLE
sub_spend_area,STRING,NULLABLE
spend_classification,STRING,NULLABLE
item_type,STRING,NULLABLE
item_category,STRING,NULLABLE
gr_based_invoice_verification,STRING,NULLABLE
goods_receipt_required,STRING,NULLABLE
source_file,STRING,NULLABLE
source_row_number,INTEGER,NULLABLE
pipeline_batch_id,STRING,NULLABLE
processing_timestamp_utc,TIMESTAMP,NULLABLE
event_year,INTEGER,NULLABLE
event_month,INTEGER,NULLABLE
ingestion_batch_id,STRING,NULLABLE
ingestion_batch_sequence,INTEGER,NULLABLE
simulated_ingestion_timestamp_utc,TIMESTAMP,NULLABLE
simulated_ingestion_date,DATE,NULLABLE
batch_row_number,INTEGER,NULLABLE
