batch_id,local_file,gcs_uri,status,row_count,file_size_bytes,sha256,gcs_generation,message
batch_0001,data\batches\clean\batch_0001\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0001/events.parquet,SKIPPED,100000,3108767,59ab1764b57a45013b64edc2d186587b73c76811d92141a1397daa26d525c73e,1786198412781283,Identical object already exists in Cloud Storage.
batch_0002,data\batches\clean\batch_0002\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0002/events.parquet,SKIPPED,100000,3215271,1e509fcc93e7f9e83180f64cd55a91d31a35f266cf247ce84feb912d1d730d94,1786198413058401,Identical object already exists in Cloud Storage.
batch_0003,data\batches\clean\batch_0003\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0003/events.parquet,SKIPPED,100000,3271275,eef306bfed95e331420a5916ca915d8ea21b48e5fcaf9b2aba3c73114d056de9,1786198413349018,Identical object already exists in Cloud Storage.
batch_0004,data\batches\clean\batch_0004\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0004/events.parquet,SKIPPED,100000,3258723,056cd1a68eaa76462bae8311c11020bd68a8559c1da889a11c577ab5ce1fb8d9,1786198413617839,Identical object already exists in Cloud Storage.
batch_0005,data\batches\clean\batch_0005\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0005/events.parquet,SKIPPED,100000,3239519,5f7bf879b390d4886c1d832cd6cd2afc4f44551d2cafa69b3d9ce3c64789ce1a,1786198413897809,Identical object already exists in Cloud Storage.
batch_0006,data\batches\clean\batch_0006\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0006/events.parquet,SKIPPED,100000,3243806,d18ca889afc38a1d3ef081095a6ac041f30b9ab56dc3de2cdb430ca6f6fd3293,1786198414169503,Identical object already exists in Cloud Storage.
batch_0007,data\batches\clean\batch_0007\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0007/events.parquet,SKIPPED,100000,3264502,ac4bee8d6501a6bd4094dc75bb8f7e5d89a14e16494c704714c4a08112f0bf23,1786198414425519,Identical object already exists in Cloud Storage.
batch_0008,data\batches\clean\batch_0008\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0008/events.parquet,SKIPPED,100000,3303138,cba10e9df10e2754a047c1ffe77b73a4989d94de404021e6a3252959b062833c,1786198414700623,Identical object already exists in Cloud Storage.
batch_0009,data\batches\clean\batch_0009\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0009/events.parquet,SKIPPED,100000,3277002,ed50dd697ba0a732d138718f220b9798eae2721aaaf07952b9f4aa801bb4e4bb,1786198414968187,Identical object already exists in Cloud Storage.
batch_0010,data\batches\clean\batch_0010\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0010/events.parquet,SKIPPED,100000,3274578,2a2b550acff77df5d85ccd7200b197a73228ff64df5ebb0d60acaab6feb61c65,1786198415244367,Identical object already exists in Cloud Storage.
batch_0011,data\batches\clean\batch_0011\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0011/events.parquet,SKIPPED,100000,3321593,e524ff2c6195c5fb96b1b5a6ba680b58d577d3f5611e0357ec166082fa4b3b14,1786198415526502,Identical object already exists in Cloud Storage.
batch_0012,data\batches\clean\batch_0012\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0012/events.parquet,SKIPPED,100000,3302210,61a8829b5d45e2c735c688e810de07c961c52ced49213b0cf7f42ef1ed356b83,1786198415794318,Identical object already exists in Cloud Storage.
batch_0013,data\batches\clean\batch_0013\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0013/events.parquet,SKIPPED,100000,3283498,3737044faed6c2d4d11e9b55f87f14e5323bf79a87ac51d779001153be379e2e,1786198416084744,Identical object already exists in Cloud Storage.
batch_0014,data\batches\clean\batch_0014\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0014/events.parquet,SKIPPED,100000,3289783,6ab553616f591f24ca427f55e4d384000d34a362a33ebbfa0237951f64b7cb9a,1786198416382367,Identical object already exists in Cloud Storage.
batch_0015,data\batches\clean\batch_0015\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0015/events.parquet,SKIPPED,100000,3300262,27caeca0ea7e885092d709e3ca4da02ec9b23cc44961be7f160290f42ba877bf,1786198416691997,Identical object already exists in Cloud Storage.
batch_0016,data\batches\clean\batch_0016\events.parquet,gs://wk-p2p-process-mining-raw-2026/raw/events/batch_0016/events.parquet,SKIPPED,95923,3239403,dd3f790c1969bbc49955f1ee6d4f6d8e96894f80c30c1889a3180ae2aaf271c7,1786198416989275,Identical object already exists in Cloud Storage.
