case:concept:name,case_name_first,case_name_unique_count,event_count,case_id_equals_case_name
2000000000_00001,vendor_0000,1,12,False
2000000001_00001,vendor_0001,1,15,False
2000000002_00001,vendor_0002,1,18,False
2000000003_00001,vendor_0003,1,12,False
2000000003_00002,vendor_0003,1,12,False
2000000003_00003,vendor_0003,1,12,False
2000000004_00001,vendor_0000,1,12,False
2000000005_00001,vendor_0004,1,16,False
2000000005_00002,vendor_0004,1,8,False
2000000006_00001,vendor_0005,1,15,False
2000000007_00001,vendor_0006,1,13,False
2000000008_00001,vendor_0007,1,13,False
2000000009_00001,vendor_0008,1,13,False
2000000010_00001,vendor_0009,1,38,False
2000000011_00001,vendor_0010,1,15,False
2000000012_00001,vendor_0011,1,12,False
2000000013_00001,vendor_0012,1,13,False
2000000014_00001,vendor_0013,1,35,False
2000000015_00001,vendor_0014,1,103,False
2000000016_00001,vendor_0015,1,250,False
2000000017_00001,vendor_0016,1,120,False
2000000018_00001,vendor_0017,1,180,False
2000000019_00001,vendor_0016,1,105,False
2000000020_00001,vendor_0018,1,81,False
2000000021_00001,vendor_0019,1,61,False
2000000022_00001,vendor_0020,1,131,False
2000000023_00001,vendor_0021,1,14,False
2000000024_00001,vendor_0022,1,42,False
2000000025_00001,vendor_0023,1,13,False
2000000026_00001,vendor_0024,1,12,False
2000000026_00002,vendor_0024,1,12,False
2000000027_00001,vendor_0025,1,36,False
2000000028_00001,vendor_0025,1,44,False
2000000029_00001,vendor_0003,1,12,False
2000000029_00002,vendor_0003,1,12,False
2000000029_00003,vendor_0003,1,12,False
2000000030_00001,vendor_0012,1,18,False
2000000031_00001,vendor_0011,1,12,False
2000000032_00001,vendor_0003,1,12,False
2000000033_00001,vendor_0006,1,13,False
2000000034_00001,vendor_0019,1,63,False
2000000035_00001,vendor_0021,1,15,False
2000000036_00001,vendor_0026,1,15,False
2000000037_00001,vendor_0027,1,12,False
2000000037_00002,vendor_0027,1,12,False
2000000037_00003,vendor_0027,1,12,False
2000000038_00001,vendor_0028,1,12,False
2000000039_00001,vendor_0029,1,12,False
2000000039_00002,vendor_0029,1,12,False
2000000040_00001,vendor_0030,1,32,False
2000000041_00001,vendor_0031,1,13,False
2000000042_00001,vendor_0031,1,13,False
2000000043_00001,vendor_0024,1,8,False
2000000044_00001,vendor_0032,1,12,False
2000000045_00001,vendor_0003,1,12,False
2000000045_00002,vendor_0003,1,12,False
2000000046_00001,vendor_0033,1,13,False
2000000047_00001,vendor_0034,1,278,False
2000000048_00001,vendor_0035,1,13,False
2000000049_00001,vendor_0036,1,12,False
2000000050_00001,vendor_0037,1,12,False
2000000051_00001,vendor_0029,1,12,False
2000000052_00001,vendor_0038,1,11,False
2000000053_00001,vendor_0039,1,18,False
2000000054_00001,vendor_0027,1,13,False
2000000054_00002,vendor_0027,1,12,False
2000000054_00003,vendor_0027,1,13,False
2000000054_00004,vendor_0027,1,13,False
2000000055_00001,vendor_0040,1,69,False
2000000056_00001,vendor_0040,1,62,False
2000000057_00001,vendor_0040,1,76,False
2000000058_00001,vendor_0040,1,85,False
2000000059_00001,vendor_0040,1,77,False
2000000060_00001,vendor_0040,1,85,False
2000000061_00001,vendor_0040,1,77,False
2000000062_00001,vendor_0040,1,9,False
2000000063_00001,vendor_0040,1,9,False
2000000064_00001,vendor_0040,1,79,False
2000000065_00001,vendor_0040,1,77,False
2000000066_00001,vendor_0040,1,77,False
2000000067_00001,vendor_0040,1,69,False
2000000068_00001,vendor_0040,1,85,False
2000000069_00001,vendor_0040,1,96,False
2000000070_00001,vendor_0040,1,67,False
2000000071_00001,vendor_0040,1,57,False
2000000072_00001,vendor_0040,1,77,False
2000000073_00001,vendor_0000,1,12,False
2000000074_00001,vendor_0029,1,12,False
2000000075_00001,vendor_0028,1,12,False
2000000076_00001,vendor_0041,1,12,False
2000000076_00002,vendor_0041,1,12,False
2000000076_00003,vendor_0041,1,8,False
2000000077_00001,vendor_0042,1,12,False
2000000077_00002,vendor_0042,1,8,False
2000000078_00001,vendor_0043,1,19,False
2000000079_00001,vendor_0027,1,12,False
2000000079_00002,vendor_0027,1,12,False
2000000079_00003,vendor_0027,1,12,False
2000000080_00001,vendor_0035,1,12,False
2000000080_00002,vendor_0035,1,8,False
2000000081_00001,vendor_0044,1,29,False
2000000082_00001,vendor_0045,1,12,False
2000000082_00002,vendor_0045,1,12,False
2000000083_00001,vendor_0000,1,12,False
2000000083_00002,vendor_0000,1,12,False
2000000083_00003,vendor_0000,1,12,False
2000000084_00001,vendor_0046,1,12,False
2000000085_00001,vendor_0027,1,12,False
2000000086_00001,vendor_0003,1,12,False
