case:concept:name,event_count,first_event,last_event,unique_activity_count,case_duration_hours
2000000000_00001,12,2018-01-02 12:53:00+00:00,2018-03-29 13:06:00+00:00,12,2064.22
2000000001_00001,15,2018-01-03 08:49:00+00:00,2019-01-17 10:58:00+00:00,14,9098.15
2000000002_00001,18,2018-01-04 13:17:00+00:00,2019-01-17 10:59:00+00:00,15,9069.7
2000000003_00001,12,2018-01-08 06:21:00+00:00,2018-03-08 12:21:00+00:00,12,1422.0
2000000003_00002,12,2018-01-08 06:21:00+00:00,2018-03-08 12:21:00+00:00,12,1422.0
2000000003_00003,12,2018-01-08 06:21:00+00:00,2018-03-08 12:21:00+00:00,12,1422.0
2000000004_00001,12,2018-01-08 06:21:00+00:00,2018-03-29 13:06:00+00:00,12,1926.75
2000000005_00001,16,2018-01-08 09:08:00+00:00,2018-08-02 07:19:00+00:00,14,4942.18
2000000005_00002,8,2018-01-08 09:08:00+00:00,2018-01-08 10:09:00+00:00,8,1.02
2000000006_00001,15,2018-01-08 10:33:00+00:00,2019-01-17 10:59:00+00:00,14,8976.43
2000000007_00001,13,2018-01-08 12:12:00+00:00,2018-03-08 12:22:00+00:00,13,1416.17
2000000008_00001,13,2018-01-08 14:36:00+00:00,2018-02-22 15:18:00+00:00,13,1080.7
2000000009_00001,13,2018-01-02 22:59:00+00:00,2018-03-15 13:13:00+00:00,13,1718.23
2000000010_00001,38,2018-01-09 14:30:00+00:00,2019-01-17 10:59:00+00:00,16,8948.48
2000000011_00001,15,2018-01-09 15:54:00+00:00,2019-01-17 10:59:00+00:00,14,8947.08
2000000012_00001,12,2018-01-10 14:38:00+00:00,2018-03-29 13:06:00+00:00,12,1870.47
2000000013_00001,13,2018-01-10 14:38:00+00:00,2018-02-15 13:51:00+00:00,13,863.22
2000000014_00001,35,2018-01-11 14:41:00+00:00,2019-01-17 10:59:00+00:00,14,8900.3
2000000015_00001,103,2018-01-12 08:51:00+00:00,2019-01-17 10:59:00+00:00,19,8882.13
