case:concept:name,concept:name,time:timestamp,User,org:resource,case:Purchasing Document,case:Item,case:Document Type,case:Vendor,case:Company,case:Source
4507004931_00010,Vendor creates invoice,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00010,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00020,Vendor creates debit memo,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00020,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00030,Vendor creates invoice,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00030,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00030,Vendor creates debit memo,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00030,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00040,Vendor creates invoice,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00040,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00040,Vendor creates debit memo,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00040,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00050,Vendor creates invoice,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00050,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00050,Vendor creates debit memo,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00050,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00020,Vendor creates invoice,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00020,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507004931_00010,Vendor creates debit memo,1948-01-26 22:59:00+00:00,NONE,NONE,4507004931,00010,Standard PO,vendorID_0670,companyID_0000,sourceSystemID_0000
4507014062_00050,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00050,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00070,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00070,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00040,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00040,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00080,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00080,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00090,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00090,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00020,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00020,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00030,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00030,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00060,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00060,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507014062_00010,Vendor creates invoice,1993-05-18 21:59:00+00:00,NONE,NONE,4507014062,00010,Standard PO,vendorID_0427,companyID_0000,sourceSystemID_0000
4507000647_00010,Vendor creates debit memo,2001-01-23 22:59:00+00:00,NONE,NONE,4507000647,00010,Framework order,vendorID_0307,companyID_0000,sourceSystemID_0000
4507009522_00010,Vendor creates debit memo,2001-02-19 22:59:00+00:00,NONE,NONE,4507009522,00010,Standard PO,vendorID_0336,companyID_0000,sourceSystemID_0000
2000000097_00001,Vendor creates debit memo,2001-02-23 22:59:00+00:00,NONE,NONE,2000000097,00001,EC Purchase order,vendorID_0052,companyID_0000,sourceSystemID_0000
4507013723_00010,Vendor creates invoice,2001-04-05 21:59:00+00:00,NONE,NONE,4507013723,00010,Standard PO,vendorID_1281,companyID_0000,sourceSystemID_0000
4507013723_00010,Vendor creates debit memo,2001-04-05 21:59:00+00:00,NONE,NONE,4507013723,00010,Standard PO,vendorID_1281,companyID_0000,sourceSystemID_0000
4507027474_00010,Vendor creates debit memo,2001-04-10 21:59:00+00:00,NONE,NONE,4507027474,00010,Framework order,vendorID_1442,companyID_0000,sourceSystemID_0000
4507012794_00010,Vendor creates invoice,2001-04-12 21:59:00+00:00,NONE,NONE,4507012794,00010,Standard PO,vendorID_0175,companyID_0000,sourceSystemID_0000
4507018023_00010,Vendor creates invoice,2001-04-12 21:59:00+00:00,NONE,NONE,4507018023,00010,Standard PO,vendorID_0175,companyID_0000,sourceSystemID_0000
4507012794_00010,Vendor creates debit memo,2001-04-12 21:59:00+00:00,NONE,NONE,4507012794,00010,Standard PO,vendorID_0175,companyID_0000,sourceSystemID_0000
4507017103_00030,Vendor creates debit memo,2001-04-24 21:59:00+00:00,NONE,NONE,4507017103,00030,Standard PO,vendorID_0167,companyID_0000,sourceSystemID_0000
4507017103_00030,Vendor creates invoice,2001-04-24 21:59:00+00:00,NONE,NONE,4507017103,00030,Standard PO,vendorID_0167,companyID_0000,sourceSystemID_0000
4507017103_00020,Vendor creates invoice,2001-04-24 21:59:00+00:00,NONE,NONE,4507017103,00020,Standard PO,vendorID_0167,companyID_0000,sourceSystemID_0000
4507017103_00020,Vendor creates debit memo,2001-04-24 21:59:00+00:00,NONE,NONE,4507017103,00020,Standard PO,vendorID_0167,companyID_0000,sourceSystemID_0000
4507017103_00010,Vendor creates invoice,2001-04-24 21:59:00+00:00,NONE,NONE,4507017103,00010,Standard PO,vendorID_0167,companyID_0000,sourceSystemID_0000
4507017103_00010,Vendor creates debit memo,2001-04-24 21:59:00+00:00,NONE,NONE,4507017103,00010,Standard PO,vendorID_0167,companyID_0000,sourceSystemID_0000
2000013555_00001,Vendor creates invoice,2001-04-27 21:59:00+00:00,NONE,NONE,2000013555,00001,EC Purchase order,vendorID_0089,companyID_0000,sourceSystemID_0000
4507032025_00030,Vendor creates invoice,2001-06-08 21:59:00+00:00,NONE,NONE,4507032025,00030,Standard PO,vendorID_0634,companyID_0000,sourceSystemID_0000
4507031332_00010,Vendor creates invoice,2001-06-14 21:59:00+00:00,NONE,NONE,4507031332,00010,Standard PO,vendorID_0253,companyID_0000,sourceSystemID_0000
4507036538_00020,Vendor creates debit memo,2001-06-15 21:59:00+00:00,NONE,NONE,4507036538,00020,Standard PO,vendorID_0284,companyID_0000,sourceSystemID_0000
4507030967_00010,Vendor creates debit memo,2001-06-30 21:59:00+00:00,NONE,NONE,4507030967,00010,Standard PO,vendorID_0315,companyID_0000,sourceSystemID_0000
4507035116_00010,Vendor creates debit memo,2001-07-11 21:59:00+00:00,NONE,NONE,4507035116,00010,Standard PO,vendorID_0269,companyID_0000,sourceSystemID_0000
4507035114_00010,Vendor creates debit memo,2001-07-16 21:59:00+00:00,NONE,NONE,4507035114,00010,Standard PO,vendorID_0269,companyID_0000,sourceSystemID_0000
4507037128_00320,Vendor creates invoice,2008-06-19 21:59:00+00:00,NONE,NONE,4507037128,00320,Standard PO,vendorID_0236,companyID_0000,sourceSystemID_0000
4507037128_00330,Vendor creates invoice,2008-06-19 21:59:00+00:00,NONE,NONE,4507037128,00330,Standard PO,vendorID_0236,companyID_0000,sourceSystemID_0000
4507037128_00340,Vendor creates invoice,2008-06-19 21:59:00+00:00,NONE,NONE,4507037128,00340,Standard PO,vendorID_0236,companyID_0000,sourceSystemID_0000
4507037128_00350,Vendor creates invoice,2008-06-19 21:59:00+00:00,NONE,NONE,4507037128,00350,Standard PO,vendorID_0236,companyID_0000,sourceSystemID_0000
4507037128_00370,Vendor creates invoice,2008-06-19 21:59:00+00:00,NONE,NONE,4507037128,00370,Standard PO,vendorID_0236,companyID_0000,sourceSystemID_0000
4507037128_00380,Vendor creates invoice,2008-06-19 21:59:00+00:00,NONE,NONE,4507037128,00380,Standard PO,vendorID_0236,companyID_0000,sourceSystemID_0000
