case:concept:name,event_count,unique_activity_count,first_event,last_event,purchasing_document,item,vendor,company,duration_hours
4507027474_00010,990,10,2001-04-10 21:59:00+00:00,2019-01-10 14:45:00+00:00,4507027474,00010,vendorID_1442,companyID_0000,155608.77
4507000440_00010,923,11,2017-09-21 21:59:00+00:00,2019-01-10 14:46:00+00:00,4507000440,00010,vendorID_0207,companyID_0000,11416.78
4507004396_00020,868,9,2018-01-22 09:30:00+00:00,2019-01-17 08:03:00+00:00,4507004396,00020,vendorID_0472,companyID_0000,8638.55
4507000647_00010,833,9,2001-01-23 22:59:00+00:00,2019-01-17 16:52:00+00:00,4507000647,00010,vendorID_0307,companyID_0000,157625.88
4507001973_00010,745,10,2017-10-26 21:59:00+00:00,2019-01-17 16:36:00+00:00,4507001973,00010,vendorID_0388,companyID_0000,10746.62
4507026474_00001,561,3,2018-05-01 00:27:00+00:00,2018-05-03 00:49:00+00:00,4507026474,00001,vendorID_0472,companyID_0000,48.37
4507000436_00010,513,11,2018-01-02 14:33:00+00:00,2019-01-10 14:45:00+00:00,4507000436,00010,vendorID_0204,companyID_0000,8952.2
4507013227_00001,509,3,2018-03-01 10:29:00+00:00,2018-03-03 00:08:00+00:00,4507013227,00001,vendorID_0234,companyID_0000,37.65
4507000449_00060,500,8,2018-01-02 15:20:00+00:00,2019-01-17 13:41:00+00:00,4507000449,00060,vendorID_0213,companyID_0000,9118.35
2000000100_00001,464,20,2017-01-31 22:59:00+00:00,2019-04-30 21:59:00+00:00,2000000100,00001,vendorID_0053,companyID_0000,19655.0
4507029298_00001,461,3,2018-05-15 21:30:00+00:00,2018-05-15 23:39:00+00:00,4507029298,00001,vendorID_0234,companyID_0000,2.15
4507013395_00001,458,6,2018-03-01 21:45:00+00:00,2018-06-07 11:13:00+00:00,4507013395,00001,vendorID_0230,companyID_0000,2341.47
4507027972_00001,452,3,2018-05-08 21:30:00+00:00,2018-05-08 23:22:00+00:00,4507027972,00001,vendorID_0234,companyID_0000,1.87
4507023700_00001,418,3,2018-04-17 21:30:00+00:00,2018-04-17 23:21:00+00:00,4507023700,00001,vendorID_0234,companyID_0000,1.85
4507031106_00001,416,3,2018-05-23 21:30:00+00:00,2018-05-23 23:21:00+00:00,4507031106,00001,vendorID_0234,companyID_0000,1.85
4507025271_00001,405,3,2018-04-24 21:30:00+00:00,2018-04-24 23:01:00+00:00,4507025271,00001,vendorID_0234,companyID_0000,1.52
4507000684_00010,399,11,2018-01-03 13:23:00+00:00,2019-01-17 13:41:00+00:00,4507000684,00010,vendorID_0330,companyID_0000,9096.3
4507016947_00010,397,8,2018-03-14 22:59:00+00:00,2019-01-18 11:15:00+00:00,4507016947,00010,vendorID_1336,companyID_0000,7428.27
4507032479_00001,391,3,2018-05-29 21:30:00+00:00,2018-05-29 22:40:00+00:00,4507032479,00001,vendorID_0234,companyID_0000,1.17
4507025985_00001,387,3,2018-04-26 21:30:00+00:00,2018-04-26 22:53:00+00:00,4507025985,00001,vendorID_0234,companyID_0000,1.38
4507026636_00001,384,3,2018-05-01 21:30:00+00:00,2018-05-01 23:24:00+00:00,4507026636,00001,vendorID_0234,companyID_0000,1.9
4507031802_00001,383,3,2018-05-25 21:30:00+00:00,2018-05-25 22:33:00+00:00,4507031802,00001,vendorID_0234,companyID_0000,1.05
4508056372_00001,381,3,2018-09-18 21:30:00+00:00,2018-09-18 22:53:00+00:00,4508056372,00001,vendorID_0234,companyID_0000,1.38
4507022081_00001,381,3,2018-04-10 21:30:00+00:00,2018-04-10 23:04:00+00:00,4507022081,00001,vendorID_0234,companyID_0000,1.57
4507034330_00001,380,3,2018-06-05 21:30:00+00:00,2018-06-05 22:52:00+00:00,4507034330,00001,vendorID_0234,companyID_0000,1.37
4507024602_00001,379,3,2018-04-20 21:30:00+00:00,2018-04-20 22:42:00+00:00,4507024602,00001,vendorID_0234,companyID_0000,1.2
4508043230_00001,378,3,2018-07-13 21:30:00+00:00,2018-07-13 22:26:00+00:00,4508043230,00001,vendorID_0234,companyID_0000,0.93
4507019401_00001,378,3,2018-03-27 21:30:00+00:00,2018-03-27 23:02:00+00:00,4507019401,00001,vendorID_0234,companyID_0000,1.53
4507017814_00001,376,3,2018-03-20 22:30:00+00:00,2018-03-20 23:33:00+00:00,4507017814,00001,vendorID_0234,companyID_0000,1.05
4508043792_00001,371,3,2018-07-17 21:30:00+00:00,2018-07-17 23:14:00+00:00,4508043792,00001,vendorID_0234,companyID_0000,1.73
4507037775_00001,370,3,2018-06-19 21:30:00+00:00,2018-06-19 22:31:00+00:00,4507037775,00001,vendorID_0234,companyID_0000,1.02
4507027485_00001,370,3,2018-05-04 21:30:00+00:00,2018-05-04 22:41:00+00:00,4507027485,00001,vendorID_0234,companyID_0000,1.18
4508054923_00001,367,3,2018-09-11 21:31:00+00:00,2018-09-11 22:35:00+00:00,4508054923,00001,vendorID_0234,companyID_0000,1.07
4507021336_00001,367,3,2018-04-06 21:30:00+00:00,2018-04-06 22:37:00+00:00,4507021336,00001,vendorID_0234,companyID_0000,1.12
4507016136_00001,366,3,2018-03-13 22:30:00+00:00,2018-03-13 23:36:00+00:00,4507016136,00001,vendorID_0234,companyID_0000,1.1
4507035426_00001,356,3,2018-06-08 21:30:00+00:00,2018-06-08 22:46:00+00:00,4507035426,00001,vendorID_0234,companyID_0000,1.27
4507040911_00001,355,3,2018-07-03 21:30:00+00:00,2018-07-03 22:40:00+00:00,4507040911,00001,vendorID_0234,companyID_0000,1.17
4507014546_00001,352,3,2018-03-06 22:30:00+00:00,2018-03-07 03:01:00+00:00,4507014546,00001,vendorID_0234,companyID_0000,4.52
